loan_id,book_id,member_id,loan_date,due_date,return_date,fine
1,584,136,2025-05-19,2025-06-02,2025-05-29,0
2,656,60,2024-12-07,2024-12-21,2024-12-19,0
3,761,76,2022-07-27,2022-08-10,,0
4,242,427,2024-05-29,2024-06-12,2024-06-23,1.71
5,328,7,2024-01-06,2024-01-20,2024-01-24,15.45
6,586,237,2022-10-06,2022-10-20,2022-11-02,4.09
7,245,456,2024-09-04,2024-09-18,2024-09-24,1.16
8,399,372,2025-01-13,2025-01-27,2025-02-07,14.72
9,973,138,2022-08-18,2022-09-01,2022-09-17,7.84
10,927,454,2023-10-12,2023-10-26,2023-11-06,12.81
11,496,45,2023-08-09,2023-08-23,2023-09-07,1.1
12,459,390,2023-07-31,2023-08-14,2023-08-16,10.24
13,941,228,2023-03-07,2023-03-21,2023-03-24,2.76
14,717,406,2024-02-23,2024-03-08,2024-03-10,16.97
15,734,91,2023-11-30,2023-12-14,2023-12-30,11.86
16,189,193,2025-07-08,2025-07-22,2025-07-18,0
17,358,432,2022-09-18,2022-10-02,2022-10-17,4.71
18,74,180,2024-02-03,2024-02-17,2024-02-19,5.08
19,349,65,2022-10-26,2022-11-09,2022-11-17,9.36
20,100,184,2024-04-11,2024-04-25,,0
21,249,385,2024-02-25,2024-03-10,2024-03-23,18.98
22,838,132,2023-01-05,2023-01-19,2023-01-22,12.72
23,748,22,2022-12-02,2022-12-16,,0
24,908,487,2023-05-19,2023-06-02,,0
25,370,215,2022-12-21,2023-01-04,2023-01-09,19.23
26,538,190,2023-06-22,2023-07-06,2023-07-09,17.97
27,527,61,2025-02-17,2025-03-03,2025-03-13,9.13
28,619,447,2024-05-28,2024-06-11,2024-06-07,0
29,902,367,2024-05-03,2024-05-17,2024-05-29,2.61
30,285,349,2022-08-07,2022-08-21,,0
31,651,170,2024-03-27,2024-04-10,2024-04-06,0
32,762,238,2022-11-06,2022-11-20,,0
33,502,94,2025-05-13,2025-05-27,2025-05-23,0
34,904,360,2022-09-19,2022-10-03,,0
35,363,144,2025-04-10,2025-04-24,2025-04-30,1.27
36,682,252,2022-08-30,2022-09-13,2022-09-21,19.42
37,585,163,2023-08-05,2023-08-19,2023-08-28,9.1
38,107,472,2024-03-02,2024-03-16,,0
39,329,370,2023-04-07,2023-04-21,2023-05-02,10.01
40,219,71,2024-06-20,2024-07-04,2024-07-06,14.74
41,723,213,2022-12-30,2023-01-13,,0
42,845,445,2023-11-01,2023-11-15,2023-11-23,11.66
43,237,1,2023-01-16,2023-01-30,2023-02-01,3.07
44,843,353,2024-04-05,2024-04-19,2024-05-03,14.27
45,936,5,2023-06-08,2023-06-22,,0
46,715,427,2025-04-23,2025-05-07,,0
47,109,496,2024-03-14,2024-03-28,2024-04-07,8.03
48,436,405,2024-06-22,2024-07-06,,0
49,494,353,2023-05-15,2023-05-29,,0
50,107,34,2023-06-18,2023-07-02,2023-07-14,14.23
51,848,48,2025-07-11,2025-07-25,2025-08-04,2.58
52,626,490,2023-01-16,2023-01-30,2023-02-11,6.3
53,152,344,2025-06-04,2025-06-18,2025-06-25,19.25
54,961,92,2023-01-14,2023-01-28,2023-01-26,0
55,763,167,2023-11-25,2023-12-09,2023-12-21,1.94
56,326,448,2023-12-22,2024-01-05,2024-01-14,12.83
57,438,144,2023-10-30,2023-11-13,2023-11-15,14.51
58,319,195,2024-08-10,2024-08-24,2024-09-07,14.85
59,816,42,2025-04-06,2025-04-20,2025-04-23,12.15
60,714,125,2024-03-10,2024-03-24,2024-04-01,10.35
61,746,110,2023-06-05,2023-06-19,2023-06-23,3.33
62,206,73,2022-09-27,2022-10-11,2022-10-09,0
63,300,267,2024-01-02,2024-01-16,,0
64,117,121,2023-03-02,2023-03-16,2023-03-25,10.29
65,305,408,2025-01-23,2025-02-06,,0
66,293,340,2024-04-20,2024-05-04,2024-05-14,16.74
67,170,36,2025-04-09,2025-04-23,2025-04-29,12.62
68,901,319,2024-03-30,2024-04-13,2024-04-26,7.01
69,357,463,2024-08-09,2024-08-23,,0
70,940,330,2025-06-18,2025-07-02,2025-07-10,14.59
71,15,53,2022-08-07,2022-08-21,,0
72,513,83,2023-10-27,2023-11-10,2023-11-19,5
73,435,37,2024-11-05,2024-11-19,2024-11-30,2.4
74,278,464,2023-03-22,2023-04-05,,0
75,587,206,2025-01-03,2025-01-17,2025-01-24,10.78
76,368,146,2025-07-10,2025-07-24,,0
77,23,364,2025-03-18,2025-04-01,2025-03-29,0
78,728,37,2025-06-25,2025-07-09,2025-07-18,1.82
79,828,126,2025-05-19,2025-06-02,2025-06-15,13.96
80,163,308,2023-08-15,2023-08-29,2023-08-28,0
81,52,427,2022-07-23,2022-08-06,2022-08-15,13.22
82,616,43,2024-02-14,2024-02-28,2024-03-06,17.58
83,291,345,2025-07-17,2025-07-31,2025-08-06,8.41
84,270,6,2025-05-12,2025-05-26,2025-05-30,16.01
85,911,324,2024-05-26,2024-06-09,2024-06-25,9.42
86,147,359,2022-12-07,2022-12-21,2022-12-30,16.3
87,602,295,2022-11-11,2022-11-25,,0
88,469,385,2024-10-29,2024-11-12,2024-11-08,0
89,566,401,2024-09-30,2024-10-14,2024-10-12,0
90,687,209,2023-10-20,2023-11-03,2023-11-16,5.57
91,60,217,2024-05-12,2024-05-26,2024-06-03,12.74
92,3,233,2025-06-10,2025-06-24,2025-06-26,9.28
93,15,276,2024-06-04,2024-06-18,2024-07-02,19.08
94,561,137,2024-04-11,2024-04-25,2024-04-27,5.74
95,55,31,2022-11-01,2022-11-15,2022-11-15,0
96,811,448,2022-09-15,2022-09-29,2022-10-09,13.97
97,245,494,2023-10-31,2023-11-14,2023-11-15,15.33
98,623,195,2025-01-01,2025-01-15,,0
99,938,394,2022-08-14,2022-08-28,2022-09-06,9.12
100,370,26,2023-08-16,2023-08-30,2023-09-08,4.18
101,340,246,2023-07-06,2023-07-20,2023-07-19,0
102,466,491,2024-03-28,2024-04-11,2024-04-16,6.41
103,420,95,2023-07-20,2023-08-03,,0
104,596,198,2024-02-28,2024-03-13,2024-03-16,1.6
105,675,50,2023-09-11,2023-09-25,,0
106,875,179,2025-02-15,2025-03-01,,0
107,211,489,2022-07-31,2022-08-14,2022-08-24,2.96
108,63,486,2024-10-29,2024-11-12,2024-11-11,0
109,748,227,2023-10-03,2023-10-17,,0
110,813,179,2024-04-05,2024-04-19,2024-04-25,6.45
111,285,29,2024-04-07,2024-04-21,2024-04-18,0
112,431,270,2024-11-11,2024-11-25,2024-12-08,19.13
113,261,10,2023-07-21,2023-08-04,,0
114,840,235,2023-08-05,2023-08-19,,0
115,518,442,2023-04-28,2023-05-12,2023-05-22,19.07
116,167,361,2023-10-15,2023-10-29,2023-11-08,12.22
117,708,440,2023-11-19,2023-12-03,,0
118,427,187,2024-06-21,2024-07-05,2024-07-17,18.26
119,15,121,2023-05-03,2023-05-17,2023-05-15,0
120,647,206,2022-09-18,2022-10-02,,0
121,834,47,2022-10-11,2022-10-25,2022-11-10,10.49
122,684,337,2023-01-25,2023-02-08,2023-02-18,13.7
123,875,421,2025-03-11,2025-03-25,2025-03-28,19.27
124,792,66,2022-12-09,2022-12-23,2023-01-06,12.26
125,838,470,2023-01-26,2023-02-09,2023-02-20,4.66
126,780,462,2023-11-09,2023-11-23,2023-11-23,0
127,38,68,2025-01-08,2025-01-22,2025-01-31,15.1
128,686,179,2023-02-02,2023-02-16,2023-02-13,0
129,787,9,2023-09-18,2023-10-02,2023-10-07,11.5
130,316,460,2022-11-05,2022-11-19,2022-11-24,3.34
131,19,421,2022-11-05,2022-11-19,2022-12-02,1.15
132,942,79,2024-05-20,2024-06-03,2024-06-05,14.53
133,84,42,2024-05-30,2024-06-13,2024-06-16,2.51
134,908,393,2024-11-20,2024-12-04,2024-11-30,0
135,841,384,2024-09-16,2024-09-30,2024-10-13,19.27
136,14,171,2023-08-22,2023-09-05,2023-09-07,1.51
137,431,201,2023-01-28,2023-02-11,2023-02-23,12.86
138,244,246,2024-03-10,2024-03-24,2024-03-25,5.78
139,574,121,2023-01-06,2023-01-20,,0
140,14,344,2023-11-22,2023-12-06,2023-12-04,0
141,542,153,2024-03-19,2024-04-02,2024-04-09,5.22
142,73,411,2023-07-18,2023-08-01,2023-08-12,14.49
143,345,481,2023-11-26,2023-12-10,2023-12-18,15.63
144,628,210,2023-09-30,2023-10-14,2023-10-10,0
145,636,154,2025-01-17,2025-01-31,2025-02-02,12.85
146,759,293,2024-04-18,2024-05-02,2024-05-02,0
147,560,404,2023-01-12,2023-01-26,2023-02-03,10.34
148,141,169,2024-09-06,2024-09-20,2024-09-30,19.79
149,628,107,2023-01-20,2023-02-03,2023-02-08,10.68
150,230,45,2024-03-13,2024-03-27,,0
151,21,490,2024-05-19,2024-06-02,,0
152,46,388,2025-04-28,2025-05-12,2025-05-24,7.01
153,450,25,2024-06-18,2024-07-02,2024-07-11,11.47
154,344,132,2025-02-24,2025-03-10,2025-03-16,13.09
155,296,156,2023-03-08,2023-03-22,2023-04-02,14.54
156,442,74,2024-10-23,2024-11-06,2024-11-14,5.74
157,167,478,2025-04-22,2025-05-06,2025-05-21,19.73
158,856,321,2024-12-28,2025-01-11,2025-01-09,0
159,813,60,2024-04-08,2024-04-22,2024-04-30,2.18
160,54,471,2024-06-11,2024-06-25,2024-06-21,0
161,444,158,2024-05-02,2024-05-16,,0
162,176,8,2024-09-05,2024-09-19,2024-09-24,3.61
163,479,438,2025-05-06,2025-05-20,2025-06-03,9.82
164,14,129,2024-05-29,2024-06-12,,0
165,989,273,2025-04-14,2025-04-28,2025-05-10,12.52
166,600,35,2023-01-10,2023-01-24,2023-01-27,17.73
167,182,114,2024-02-23,2024-03-08,,0
168,365,202,2023-05-04,2023-05-18,,0
169,33,359,2023-12-17,2023-12-31,2024-01-07,19.74
170,572,180,2023-01-21,2023-02-04,2023-02-02,0
171,12,376,2025-02-08,2025-02-22,2025-02-19,0
172,767,198,2024-02-17,2024-03-02,2024-03-17,13.13
173,543,312,2024-02-02,2024-02-16,2024-02-29,5.83
174,450,370,2024-12-06,2024-12-20,2024-12-23,12.97
175,172,355,2024-07-12,2024-07-26,2024-07-30,13.79
176,403,226,2024-11-07,2024-11-21,2024-11-24,11.53
177,553,75,2024-06-06,2024-06-20,2024-07-05,8.46
178,98,188,2023-06-10,2023-06-24,2023-06-24,0
179,703,172,2025-01-23,2025-02-06,2025-02-09,6.41
180,9,109,2023-12-26,2024-01-09,,0
181,874,138,2023-08-07,2023-08-21,2023-08-29,10.89
182,300,132,2023-06-29,2023-07-13,2023-07-21,17.05
183,487,4,2025-07-04,2025-07-18,2025-07-16,0
184,83,144,2023-08-18,2023-09-01,,0
185,628,163,2023-03-09,2023-03-23,2023-03-27,4.7
186,25,57,2024-05-30,2024-06-13,2024-06-21,1.14
187,766,360,2025-01-09,2025-01-23,2025-01-24,10.08
188,134,19,2025-01-17,2025-01-31,2025-02-08,3.51
