payment_id,member_id,amount,payment_date,payment_type
1,71,90.34,2024-03-06,Donation
2,26,52.8,2022-11-04,Donation
3,132,169.53,2022-07-24,Membership Fee
4,144,45.48,2025-02-14,Fine
5,245,106.01,2025-02-06,Membership Fee
6,148,72.78,2023-08-31,Fine
7,272,132.26,2025-05-02,Fine
8,46,7.36,2024-12-12,Donation
9,331,22.98,2023-05-25,Fine
10,203,27.76,2023-05-30,Donation
11,145,122.75,2023-04-03,Fine
12,246,72.4,2023-10-10,Donation
13,500,105.98,2022-10-08,Fine
14,321,149.03,2024-03-24,Fine
15,131,167.87,2023-04-30,Fine
16,483,56.19,2025-06-12,Fine
17,125,143.5,2023-04-27,Fine
18,449,69.88,2024-11-02,Fine
19,49,75.8,2023-08-28,Membership Fee
20,393,144.48,2025-06-30,Donation
21,86,95.7,2022-08-14,Fine
22,326,109.68,2024-01-11,Fine
23,8,113.64,2024-09-26,Donation
24,422,31.72,2023-01-13,Fine
25,184,77.12,2023-09-13,Membership Fee
26,420,109.06,2024-02-23,Fine
27,462,169.27,2023-10-13,Donation
28,199,36.29,2024-08-26,Fine
29,252,44.28,2025-01-10,Fine
30,390,132.97,2023-02-13,Membership Fee
31,379,184.15,2024-06-25,Fine
32,206,131.52,2022-09-03,Fine
33,308,54.91,2025-03-22,Fine
34,400,6.82,2025-04-11,Donation
35,116,166.81,2022-08-21,Fine
36,346,126.01,2024-02-23,Fine
37,400,69,2023-06-14,Donation
38,151,181.33,2024-05-08,Donation
39,304,27.54,2022-08-20,Donation
40,379,180.47,2025-04-06,Donation
41,64,139.44,2024-03-22,Donation
42,484,153.52,2022-12-11,Donation
43,227,55.31,2022-11-01,Fine
44,252,118.33,2024-10-15,Membership Fee
45,42,41.89,2024-10-07,Fine
46,468,156.58,2022-08-31,Fine
47,377,86.84,2024-01-12,Donation
48,264,198.15,2022-11-08,Membership Fee
49,37,191.31,2024-02-05,Membership Fee
50,29,58.1,2023-11-04,Donation
51,274,168.49,2024-08-18,Donation
52,64,126.42,2023-03-25,Membership Fee
53,412,13.93,2023-03-16,Fine
54,461,28.88,2025-04-11,Fine
55,308,6.48,2022-08-28,Donation
56,77,92.8,2023-02-08,Membership Fee
57,202,98.11,2023-05-06,Membership Fee
58,220,191.6,2025-04-20,Membership Fee
59,458,189.08,2022-09-19,Membership Fee
60,399,144.21,2023-04-15,Fine
61,421,167.69,2024-08-15,Membership Fee
62,368,140.58,2025-05-08,Membership Fee
63,287,16.85,2023-04-21,Donation
64,10,162.15,2023-08-30,Membership Fee
65,282,32.18,2022-07-27,Fine
66,289,7.29,2024-10-13,Donation
67,54,92.1,2023-12-31,Fine
68,231,141.81,2025-03-19,Fine
69,168,85.83,2023-09-17,Membership Fee
70,451,92.03,2024-02-21,Fine
71,181,53.73,2023-10-12,Donation
72,381,161.51,2023-11-02,Fine
73,474,27.31,2025-07-05,Fine
74,455,180.94,2023-07-11,Membership Fee
75,208,25.26,2023-01-19,Fine
76,366,189.06,2023-02-10,Donation
77,415,190.75,2024-12-01,Fine
78,317,164.11,2024-10-02,Fine
79,307,57.81,2024-09-22,Fine
80,244,85.28,2024-05-05,Membership Fee
81,192,85.41,2022-09-03,Donation
82,175,40.91,2023-04-28,Fine
83,17,130.32,2023-07-11,Membership Fee
84,3,10.25,2023-04-26,Membership Fee
85,439,161.72,2023-01-02,Membership Fee
86,262,37.99,2024-07-01,Donation
87,274,188.31,2024-11-04,Membership Fee
88,319,186.17,2024-02-18,Fine
89,490,174.22,2022-11-29,Fine
90,416,151.25,2022-11-11,Donation
91,484,74.85,2024-08-12,Donation
92,344,15.81,2023-07-03,Fine
93,285,150.95,2024-07-24,Fine
94,428,145.86,2022-08-22,Donation
95,194,47.92,2023-10-05,Donation
96,186,97.01,2023-02-04,Membership Fee
97,151,76.55,2025-01-23,Fine
98,293,139.11,2024-01-24,Membership Fee
99,308,9.79,2023-05-22,Donation
100,424,183.48,2024-03-15,Fine
101,216,89.29,2024-08-24,Fine
102,17,107.12,2023-02-04,Donation
103,395,195.04,2023-12-13,Fine
104,28,112.84,2024-05-25,Fine
105,238,45,2022-08-21,Membership Fee
106,399,5.03,2024-08-31,Fine
107,169,193.31,2023-02-27,Fine
108,338,159.13,2024-03-07,Membership Fee
109,94,131.4,2023-06-04,Fine
110,26,9.07,2022-11-27,Membership Fee
111,53,26.08,2023-02-13,Donation
112,126,104.65,2025-07-12,Membership Fee
113,343,111.72,2025-03-24,Donation
114,46,61.26,2025-04-03,Membership Fee
115,305,133.66,2023-11-11,Membership Fee
116,395,70.88,2023-08-07,Donation
117,373,64.09,2023-05-21,Donation
118,321,45.81,2024-11-22,Fine
119,312,168.71,2025-01-14,Fine
120,58,12.29,2023-08-08,Donation
121,186,103.68,2024-02-24,Fine
122,313,166.38,2024-04-27,Membership Fee
123,35,10.2,2025-03-21,Fine
124,92,158.35,2025-03-23,Membership Fee
125,465,51.95,2025-01-02,Donation
126,238,47.99,2023-02-12,Donation
127,434,116.4,2024-01-02,Membership Fee
128,6,173.48,2022-09-28,Membership Fee
129,298,6.18,2024-06-23,Membership Fee
130,87,29.95,2023-02-27,Fine
131,171,93.94,2023-05-22,Membership Fee
132,4,22.04,2023-10-04,Fine
133,365,22.18,2025-03-14,Membership Fee
134,52,99.95,2024-03-23,Membership Fee
135,314,40.22,2023-09-22,Fine
136,407,124.08,2023-05-21,Membership Fee
137,432,176.41,2022-09-09,Membership Fee
138,355,38.24,2024-04-09,Membership Fee
139,94,99.21,2024-11-26,Fine
140,64,166.51,2023-10-13,Fine
141,204,164.05,2025-05-21,Fine
142,61,144.69,2023-02-17,Membership Fee
143,218,152.23,2024-05-30,Membership Fee
144,135,195.79,2025-07-06,Fine
145,355,133.32,2024-06-03,Fine
146,277,180.24,2024-12-15,Fine
147,451,42.02,2023-08-15,Donation
148,58,87.57,2023-10-10,Membership Fee
149,41,100.6,2025-05-29,Fine
150,14,126.45,2025-06-26,Fine
151,110,66.09,2023-01-20,Fine
152,334,111.41,2024-10-20,Donation
153,420,191.44,2023-04-10,Membership Fee
154,191,77.69,2024-03-24,Donation
155,443,70.47,2023-12-08,Membership Fee
156,41,128.17,2023-11-03,Donation
157,162,50.54,2023-03-26,Fine
158,329,154.02,2023-12-21,Fine
159,385,128.17,2024-07-19,Fine
160,408,11.85,2023-04-19,Fine
161,73,104.92,2023-02-28,Fine
162,421,121.81,2022-12-19,Membership Fee
163,308,39.17,2023-01-14,Fine
164,184,69.17,2023-01-04,Membership Fee
165,51,112.65,2023-08-09,Fine
166,338,40.46,2024-11-10,Membership Fee
167,478,168.56,2024-05-11,Donation
168,368,67.82,2023-06-14,Fine
169,132,185.61,2024-04-27,Donation
170,450,8.44,2025-04-27,Donation
171,60,178.83,2022-09-04,Membership Fee
172,344,199.27,2022-08-11,Donation
173,374,88.2,2024-01-12,Membership Fee
174,217,81.7,2025-01-25,Donation
175,176,154.01,2024-02-14,Fine
176,360,102.83,2022-10-16,Fine
177,38,192.22,2023-09-14,Membership Fee
178,427,145.3,2022-08-03,Donation
179,430,194.97,2024-01-17,Membership Fee
180,188,92.19,2023-12-09,Fine
181,5,111.63,2024-06-09,Donation
182,173,151.05,2025-02-01,Fine
183,253,14.21,2024-02-17,Fine
184,279,124.07,2025-06-05,Membership Fee
185,397,91.63,2025-04-30,Fine
186,292,138.37,2024-05-06,Membership Fee
187,155,174.78,2024-12-29,Membership Fee
188,352,190.75,2022-11-22,Donation
189,175,129.27,2024-03-01,Fine
190,288,120.73,2025-03-20,Fine
191,273,187.77,2023-08-29,Fine
192,443,75.6,2024-03-08,Membership Fee
193,361,30.81,2024-03-21,Membership Fee
194,155,50.98,2023-06-05,Fine
195,201,141.51,2023-09-02,Fine
196,236,18.49,2022-11-02,Donation
197,366,127.94,2023-03-31,Fine
198,356,189.69,2025-03-31,Fine
199,490,71.15,2023-01-17,Membership Fee
200,440,58.69,2022-08-02,Membership Fee
201,124,82.89,2024-03-20,Donation
202,271,12.31,2024-01-05,Donation
203,32,45.61,2024-10-27,Donation
204,37,132.29,2023-10-04,Membership Fee
205,278,54.62,2024-10-25,Donation
206,255,158.01,2023-05-21,Fine
207,142,13.28,2025-07-12,Membership Fee
208,84,26.02,2022-10-22,Donation
209,304,166.51,2025-02-22,Membership Fee
210,55,172.47,2025-03-15,Donation
211,24,105.36,2023-06-24,Membership Fee
212,131,58.95,2024-12-18,Fine
213,292,161.91,2025-06-20,Donation
214,370,58.55,2022-12-05,Fine
215,299,7.79,2023-11-03,Donation
216,417,119.63,2025-02-10,Fine
217,160,179.16,2022-08-26,Membership Fee
218,330,121.38,2024-08-20,Membership Fee
219,171,8.61,2025-01-24,Fine
220,420,10.24,2022-12-18,Fine
221,116,33.5,2025-03-26,Donation
222,257,48.84,2024-11-18,Fine
223,119,90.61,2023-04-25,Donation
224,357,159.77,2023-10-11,Fine
225,197,97.75,2023-09-20,Membership Fee
226,245,129.72,2023-01-08,Membership Fee
227,320,22.15,2024-02-06,Donation
228,8,149.61,2024-08-23,Membership Fee
229,344,42.76,2024-10-29,Fine
230,465,99.52,2023-03-11,Donation
231,433,192.34,2023-05-17,Fine
232,378,85.76,2022-09-02,Donation
233,377,67.13,2023-09-14,Donation
234,466,138.63,2023-08-27,Fine
235,444,38.25,2022-10-16,Donation
236,206,149.53,2025-01-17,Fine
237,363,85.4,2023-06-14,Donation
238,390,25.46,2024-07-14,Fine
239,126,130.68,2024-07-15,Donation
240,104,190.51,2023-10-14,Membership Fee
241,173,81.01,2023-08-03,Donation
242,342,191.81,2024-01-26,Fine
243,38,176.09,2023-12-19,Membership Fee
244,291,115.91,2023-11-13,Membership Fee
245,177,46.38,2024-03-23,Membership Fee
246,434,13.8,2022-11-12,Membership Fee
247,341,40.05,2024-06-02,Donation
